,place_id,name,address,featured_image,reviews,main_category,categories,rating,reviews_per_rating,coordinates,most_popular_times
4051,ChIJESf19HPFaC4Rj2ojMGeY_QI,"Aksata Coffee & Roastery, Jatinangor","3Q8J+PJ9, Hegarmanah, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat 45363",https://lh5.googleusercontent.com/p/AF1QipPuwo3nGI7PHwqtIaewWurp4U3sfLgesFnQddBQ=w408-h510-k-no,16,Kedai Kopi,"[""Kedai Kopi""]",4.6,"{""1"": 0, ""2"": 0, ""3"": 2, ""4"": 2, ""5"": 12}","{""latitude"": -6.9332068, ""longitude"": 107.7816027}","[{""hour_of_day"": 20, ""average_popularity"": 46.166666666666664, ""time_label"": ""20.00""}, {""hour_of_day"": 21, ""average_popularity"": 46.0, ""time_label"": ""21.00""}, {""hour_of_day"": 22, ""average_popularity"": 44.833333333333336, ""time_label"": ""22.00""}]"
4052,ChIJf5P2qw_FaC4RbPhVUbcUF8E,BARRY'S Coffee & Eatery,"Jl. Kolonel Ahmad Syam, Cikeruh, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat 45363",https://lh5.googleusercontent.com/p/AF1QipPbFT99Ptexu4Vn_BYfTfgng37SLoT2vc1wxHnV=w408-h544-k-no,16,Kedai Kopi,"[""Kedai Kopi""]",4.8,"{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 15}","{""latitude"": -6.940295099999999, ""longitude"": 107.7729177}",Not Present
4053,ChIJbw-nSk89aS4R-93aGyQxaDk,Circle drink,"Jl. Raya Kalijati, Dawuan Kaler, Kec. Dawuan, Kabupaten Subang, Jawa Barat 41271",https://lh5.googleusercontent.com/p/AF1QipOKaDPXzBY9vkSpSdnLeKzdhlKuTOEflIqVypCm=w408-h544-k-no,16,Kedai Kopi,"[""Kedai Kopi""]",4.9,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 15}","{""latitude"": -6.5423969, ""longitude"": 107.69280619999999}",Not Present
4054,ChIJhVFhXiqZZS4ROfN9wpZUx38,Lacultura Koffie Bar & Supply,"Jl. Pantai Barat Samping Villa Kuda No.102, Pangandaran, Kec. Pangandaran, Kab. Pangandaran, Jawa Barat 46396",https://lh5.googleusercontent.com/p/AF1QipOcX88INf7evL7CqtffI6QgzL5XPQ2wL5mtfHPe=w408-h272-k-no,16,Kafe,"[""Kafe"", ""Toko kopi""]",4.8,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 3, ""5"": 13}","{""latitude"": -7.696305799999999, ""longitude"": 108.6543248}","[{""hour_of_day"": 0, ""average_popularity"": 36.0, ""time_label"": ""00.00""}, {""hour_of_day"": 16, ""average_popularity"": 33.57142857142857, ""time_label"": ""16.00""}, {""hour_of_day"": 15, ""average_popularity"": 33.42857142857143, ""time_label"": ""15.00""}]"
4055,ChIJFzQ3dbDFaC4RmlVu5lqPKCg,Warmindo Burjo Sokin,"Jl. Kolonel Ahmad Syam, Sayang, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat 45363",https://lh5.googleusercontent.com/p/AF1QipO7py1UbpLWZ2qfHoSxZUnL51kdbwVC9iLCCDKb=w408-h544-k-no,16,Restoran,"[""Restoran"", ""Kedai Kopi""]",4.9,"{""1"": 0, ""2"": 0, ""3"": 1, ""4"": 0, ""5"": 15}","{""latitude"": -6.9377638, ""longitude"": 107.7741356}","[{""hour_of_day"": 21, ""average_popularity"": 37.285714285714285, ""time_label"": ""21.00""}, {""hour_of_day"": 15, ""average_popularity"": 37.142857142857146, ""time_label"": ""15.00""}, {""hour_of_day"": 20, ""average_popularity"": 33.857142857142854, ""time_label"": ""20.00""}]"
4056,ChIJFxXGY08PaS4RkvYjlSOvSro,d'SRUPUT Sindang Kasih,"3, Jl. Basuki Rahmat No.49, RW.1, Sindangkasih, Kec. Purwakarta, Kabupaten Purwakarta, Jawa Barat 41112",https://lh5.googleusercontent.com/p/AF1QipNaYK--iZS96m6EC5a8TisCbs7vWAbPncGPTnv3=w522-h240-k-no,16,Kedai Kopi,"[""Kedai Kopi""]",4.4,"{""1"": 2, ""2"": 0, ""3"": 0, ""4"": 1, ""5"": 13}","{""latitude"": -6.560739, ""longitude"": 107.44086759999999}",Not Present
4057,ChIJsbx-cmuNaS4RBwfnIxngQmk,Ayam Geprek Warjo Bintara,"Jl. Bintara I No.9a, RT.011/RW.002, Bintara, Kec. Bekasi Bar., Kota Bks, Jawa Barat 17134",https://lh5.googleusercontent.com/p/AF1QipMw73DSaUAoQoNRn1-ncsehIdSvZlqyKc-jLL_b=w408-h408-k-no,15,Restoran Masakan Ayam,"[""Restoran Masakan Ayam"", ""Kafe""]",4.7,"{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 14}","{""latitude"": -6.224763299999999, ""longitude"": 106.9491218}","[{""hour_of_day"": 20, ""average_popularity"": 58.42857142857143, ""time_label"": ""20.00""}, {""hour_of_day"": 21, ""average_popularity"": 57.57142857142857, ""time_label"": ""21.00""}, {""hour_of_day"": 19, ""average_popularity"": 52.42857142857143, ""time_label"": ""19.00""}]"
4059,ChIJ03VOIbbFaC4RfHf-ggPIrG8,"Eightfully Coffee & Milk Bar, Jatinangor","Jl. Ciseke No.3, Hegarmanah, Kec. Jatinangor, Kabupaten Sumedang, Jawa Barat 45363",https://lh5.googleusercontent.com/p/AF1QipONooceSIRpjgtva18q1RKCEKYW5kNTgrMxgsvL=w408-h408-k-no,15,Kafe,"[""Kafe""]",5.0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 15}","{""latitude"": -6.9330855, ""longitude"": 107.7750942}",Not Present
4060,ChIJg7TaTj6FaS4RnPMZ4RR7sGs,KMD SUPER FOOD,"Jl. Raya Pulo Sirih Jl. Kp. Ceger, Sukadarma, Kec. Sukatani, Kabupaten Bekasi, Jawa Barat 17630",https://lh5.googleusercontent.com/p/AF1QipMEsjHLqHbL89Ya37XHLw_IpLczxsA73M5EqQvM=w408-h544-k-no,15,Restoran,"[""Restoran""]",5.0,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 15}","{""latitude"": -6.1721886, ""longitude"": 107.1803004}","[{""hour_of_day"": 18, ""average_popularity"": 42.57142857142857, ""time_label"": ""18.00""}, {""hour_of_day"": 17, ""average_popularity"": 39.857142857142854, ""time_label"": ""17.00""}, {""hour_of_day"": 20, ""average_popularity"": 39.857142857142854, ""time_label"": ""20.00""}]"
4061,ChIJc1PSPgVJaC4RwCCc1CeMiZk,Kalijodocoffee Sukabumi,"Jl. R. E. Martadinata No.21, Gunungparang, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111",https://lh5.googleusercontent.com/p/AF1QipP3YFpPOQ6Ik48ht-iWJD36UegMSlJMw1pBdocJ=w408-h725-k-no,15,Kedai Kopi,"[""Kedai Kopi""]",4.6,"{""1"": 1, ""2"": 0, ""3"": 0, ""4"": 2, ""5"": 12}","{""latitude"": -6.920194599999999, ""longitude"": 106.9297307}",Not Present
